,timestamp,device_id,model,odometer_km,trip_driven_km,instant_consumption_l_per_100km,avg_consumption_l_per_100km,fuel_level_percent,location
0,2025-09-17T11:19:02.748535,ID_3,BMW X5 (SUV),273902,45.0,10.93,10.1,79.3,"('Valday', 'RU', 'Europe/Moscow')"
1,2025-09-17T11:34:02.748535,ID_3,BMW X5 (SUV),218062,50.5,11.18,10.17,57.0,"('Marburg an der Lahn', 'DE', 'Europe/Berlin')"
2,2025-09-17T11:49:02.748535,ID_3,BMW X5 (SUV),256306,78.1,7.36,8.91,37.3,"('Jhol', 'PK', 'Asia/Karachi')"
3,2025-09-17T12:04:02.748535,ID_1,BMW 1-series (compact),78198,31.1,5.17,6.6,99.8,"('An Muileann gCearr', 'IE', 'Europe/Dublin')"
4,2025-09-17T12:19:02.748535,ID_1,BMW 1-series (compact),168261,33.5,7.36,6.35,27.2,"('Thap Than', 'TH', 'Asia/Bangkok')"
5,2025-09-17T12:34:02.748535,ID_2,BMW 3-series (sedan),57277,67.8,8.03,8.28,77.4,"('Dyat’kovo', 'RU', 'Europe/Moscow')"
6,2025-09-17T12:49:02.748535,ID_3,BMW X5 (SUV),225380,67.5,11.64,11.31,93.2,"('Gaya', 'NG', 'Africa/Lagos')"
7,2025-09-17T13:04:02.748535,ID_1,BMW 1-series (compact),237973,31.7,5.23,7.05,84.0,"('Daud Khel', 'PK', 'Asia/Karachi')"
8,2025-09-17T13:19:02.748535,ID_3,BMW X5 (SUV),137051,27.6,8.54,10.31,84.4,"('Stuttgart', 'DE', 'Europe/Berlin')"
9,2025-09-17T13:34:02.748535,ID_4,BMW M-series (performance),75638,19.0,10.16,11.87,72.9,"('Kent', 'US', 'America/Los_Angeles')"
10,2025-09-17T13:49:02.748535,ID_2,BMW 3-series (sedan),217570,75.9,7.71,8.92,95.1,"('Roi Et', 'TH', 'Asia/Bangkok')"
11,2025-09-17T14:04:02.748535,ID_1,BMW 1-series (compact),45222,42.1,8.8,7.2,58.9,"('Reda', 'PL', 'Europe/Warsaw')"
12,2025-09-17T14:19:02.748535,ID_2,BMW 3-series (sedan),287119,11.5,7.33,8.31,69.5,"('Dawei', 'MM', 'Asia/Yangon')"
13,2025-09-17T14:34:02.748535,ID_1,BMW 1-series (compact),240810,26.4,7.53,8.0,99.0,"('Bobigny', 'FR', 'Europe/Paris')"
14,2025-09-17T14:49:02.748535,ID_1,BMW 1-series (compact),247343,6.7,6.29,6.04,92.0,"('Milagro', 'EC', 'America/Guayaquil')"
15,2025-09-17T15:04:02.748535,ID_2,BMW 3-series (sedan),99338,70.7,6.9,7.69,93.1,"('Zhoushan', 'CN', 'Asia/Shanghai')"
16,2025-09-17T15:19:02.748535,ID_1,BMW 1-series (compact),143133,41.3,7.78,6.35,70.9,"('Novelda', 'ES', 'Europe/Madrid')"
17,2025-09-17T15:34:02.748535,ID_3,BMW X5 (SUV),239564,26.2,12.91,11.33,30.5,"('Hoogezand', 'NL', 'Europe/Amsterdam')"
18,2025-09-17T15:49:02.748535,ID_1,BMW 1-series (compact),193086,77.4,5.9,7.82,89.0,"('Brighton Beach', 'US', 'America/New_York')"
19,2025-09-17T16:04:02.748535,ID_4,BMW M-series (performance),182567,45.5,11.6,11.3,64.6,"('Catania', 'IT', 'Europe/Rome')"
